title,artist,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Austin,Dasha,2024-03-30,0.764,0.678,0,-6.161,1,0.058,0.494,1.91e-06,0.107,0.712,114.939,spotify:track:69wVo2cAAD7O9XSpSpTBAu
Beautiful Things,Benson Boone,2024-03-30,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
Lovin On Me,Jack Harlow,2024-03-30,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,spotify:track:4xhsWYTOGcal8zt0J161CU
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2024-03-30,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,spotify:track:5rb9QrpfcKFHM1EUbSIurX
Lady Killers II (Christoph Andersson Remix),G-Eazy,2024-03-30,0.673,0.567,7,-10.334,0,0.0322,0.0344,0.00506,0.151,0.497,136.005,spotify:track:1xUddpWyEuYl5T3mduKnOJ
Praise Jah In The Moonlight,YG Marley,2024-03-30,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,spotify:track:3h5TiWTqGxjSjFrbruPFH9
Make You Mine,Madison Beer,2024-03-30,0.533,0.642,6,-6.315,0,0.0403,0.221,0.00697,0.238,0.488,123.128,spotify:track:48vIfHaK7by6x0T6ucpODL
What You Won't Do For Love,Bobby Caldwell,2024-03-30,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,spotify:track:6Dk5fHTvH897XrVzCO64Mx
Get It Sexyy,Sexyy Red,2024-03-30,0.814,0.632,5,-5.721,0,0.286,0.0931,1.68e-06,0.082,0.505,145.018,spotify:track:0mIdZEa3kU6btHfzbEibz4
Dance You Outta My Head,Cat Janice,2024-03-30,0.751,0.712,2,-7.181,0,0.0548,0.0608,0.0,0.1,0.598,115.966,spotify:track:6NMqeF0Ssmi7d3dSUqnOFf
Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",2024-03-30,0.708,0.657,0,-8.074,0,0.098,0.114,0.0,0.296,0.803,139.851,spotify:track:3hFnQwSt5zAWaYpLuMSWB7
Enough (Miami),Cardi B,2024-03-30,0.926,0.791,5,-4.553,1,0.273,0.00255,0.0,0.0772,0.473,139.166,spotify:track:7pDfRnoEDRkcz7bQsOjnPc
Gata Only,FloyyMenor X Cris Mj,2024-03-30,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,spotify:track:6XjDF6nds4DE2BBbagZol6
Tshwala Bam,TitoM & Yuppe Featuring S.N.E & EeQue,2024-03-30,0.857,0.564,4,-11.427,0,0.0566,0.0103,0.178,0.0187,0.505,112.014,spotify:track:54seQV7MCcppBrznALCdlT
"Money! (Money Money, Green Green)",Kaytoven,2024-03-30,0.546,0.876,1,-5.724,1,0.0408,0.435,0.802,0.172,0.226,149.195,spotify:track:40MPZ79Nb7wBZqA9PzLVy0
Anything,Adrianne Lenker,2024-03-30,0.388,0.291,3,-12.952,1,0.0421,0.774,1.93e-05,0.0874,0.51,83.943,spotify:track:4PwWESSlTwzvw9B7bmtTLS
Baddie Friend (Two Bad Bitches),Kevo Jefe Featuring House Of Evo,2024-03-30,0.93,0.686,1,-4.053,1,0.101,0.0239,0.0,0.315,0.359,101.024,spotify:track:0wPLQRnTaArzCgmxFyEcRf
She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,2024-03-30,0.541,0.408,1,-9.87,1,0.0489,0.152,0.00734,0.104,0.0346,101.989,spotify:track:17j94KZ4XMNM599wComGDG
Tumblr Girls,G-Eazy Featuring Christoph Andersson,2024-03-30,0.49,0.373,8,-9.762,1,0.26,0.101,0.000105,0.128,0.346,121.889,spotify:track:4Fv6wNYUixnYkj3Dgfrls8
Whatever She Wants,Bryson Tiller,2024-03-30,0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02,spotify:track:57wp7VFnV8X0pSVnYArGeJ
Like What (Freestyle),Cardi B,2024-03-30,0.948,0.689,11,-6.662,0,0.167,0.0696,0.0,0.434,0.708,114.959,spotify:track:3ytbtkmMnkfwMrBi32a7FD
Never Lose Me,Flo Milli,2024-03-30,0.781,0.569,1,-7.858,1,0.0978,0.0534,0.0,0.098,0.0739,121.971,spotify:track:2x2olWuWXpqjoeE4bO1NFS
Bandit,Don Toliver,2024-03-30,0.686,0.733,2,-5.268,1,0.0576,0.00567,0.0,0.246,0.141,130.095,spotify:track:7sTyAjxDXq9afwfSQy6D0s
Show Me How,Men I Trust,2024-03-30,0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,spotify:track:75IQVo8hqI1iwVZyvkN2VT
Scared To Start,Michael Marcagi,2024-03-30,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn
My Love Mine All Mine,Mitski,2024-03-30,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,spotify:track:3vkCueOmm7xQDoJ17W1Pm3
You Are My Sunshine,Christina Perri,2024-03-30,0.574,0.121,10,-14.275,1,0.0426,0.978,1.04e-06,0.353,0.657,115.165,spotify:track:4cNpO3kF8rqcH8G3huFCJp
SC-9,Yahir Saldivar,2024-03-30,0.832,0.397,5,-9.967,1,0.162,0.093,8.68e-06,0.0771,0.932,169.963,spotify:track:03yAV3GfB7jMAEnynZaAEe
Bad Bitty,Jody P,2024-03-30,0.768,0.783,2,-6.681,1,0.0514,0.135,0.0,0.316,0.76,103.988,spotify:track:3hDGP1FyivTChULeeVWkH6
Too Sweet,Hozier,2024-03-30,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,spotify:track:4IadxL6BUymXlh8RCJJu7T
Back On 74,Jungle,2024-03-30,0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,spotify:track:19kHhX6f6EfLU7rcO3RqjO
Get In With Me,BossMan DLow,2024-03-30,0.612,0.649,1,-5.553,0,0.384,0.133,0.0,0.11,0.219,158.9,spotify:track:4iEoDBAgMJIzest7VsDgmT
Oi (Beat Da Koto Nai),Certified Trapper,2024-03-30,0.475,0.336,7,-12.35,1,0.436,0.844,1.43e-05,0.128,0.459,31.074,spotify:track:2sptW9npRR78LLHNC6m1XF
Karma,JoJo Siwa,2024-03-30,0.682,0.703,7,-4.722,0,0.0508,0.0716,0.0,0.0746,0.342,117.823,spotify:track:2uqxsofWmgRT0ekghgy3ln
Little Life,Cordelia,2024-03-30,0.507,0.0606,11,-15.605,1,0.0342,0.92,2.62e-06,0.111,0.173,130.629,spotify:track:51WRxaNJVQuXOBYUAmSzbf
Flores Amarillas,Floricienta,2024-03-30,0.708,0.794,6,-5.565,1,0.0272,0.0444,0.0,0.143,0.626,121.995,spotify:track:5wBBoVjoounI5e36oI8oZe
The West Side Freestyle,DJ Max Star,2024-03-30,0.433,0.601,5,-9.661,0,0.101,0.052,0.000725,0.124,0.685,135.056,spotify:track:10vB4BjlBjFPZRWLPBbGzj
Mr. Weatherall,Young Hub City Featuring Big Zoe,2024-03-30,0.753,0.728,0,-5.439,1,0.228,0.00773,0.0,0.0653,0.752,170.022,spotify:track:5EoobjvWYSRwoPnhRojf5c
Yasashi,CXSPER,2024-03-30,0.51,0.305,9,-12.942,1,0.0567,0.677,0.983,0.368,0.139,109.247,spotify:track:4484d0k9BgXv7VmGRT8uc8
No Fear,DeJ Loaf,2024-03-30,0.614,0.682,11,-4.117,0,0.102,0.387,0.0,0.134,0.566,100.202,spotify:track:2H881m3JRA8lpuuwaQL6zy
Act II: Date @ 8,4Batz Featuring Drake,2024-03-30,0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS
Lullaby for Erik,Evgeny Grinko,2024-03-30,0.453,0.0591,2,-27.201,1,0.033,0.988,0.952,0.0788,0.106,69.913,spotify:track:3ca1M70RxVBf9wB8YbCSLb
Go To Work,Chris Mula,2024-03-30,0.509,0.54,9,-13.219,1,0.327,0.521,0.0,0.457,0.152,67.77,spotify:track:3AwQtBfYQgDLfMnQ8ZNkEt
Mrs Magic,Strawberry Guy,2024-03-30,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542,spotify:track:0TZejo18HlJ86OrWNsXKnw
Move Yo Body (Sped Up),Bryansanon,2024-03-30,0.688,0.7,1,-8.287,1,0.0535,0.000114,1.08e-05,0.194,0.38,144.989,spotify:track:062UdtCYGxKMR2ihegtZUU
Relaxed,MC Mablo Dos Paredoes,2024-03-30,0.533,0.395,3,-11.66,0,0.0288,0.876,0.928,0.122,0.616,99.676,spotify:track:67q9y56ZUtZ6TG4JfZG2k7
Soaked,Shy Smith,2024-03-30,0.9,0.67,1,-7.49,1,0.079,0.0533,0.0,0.0629,0.84,109.001,spotify:track:65zIby9Z03d1bhGvLNJNrA
End Of Beginning,Djo,2024-03-23,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,spotify:track:3qhlB30KknSejmIvZZLjOD
Beautiful Things,Benson Boone,2024-03-23,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2024-03-23,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,spotify:track:5rb9QrpfcKFHM1EUbSIurX
Texas Hold 'Em,Beyonce,2024-03-23,0.727,0.711,2,-6.549,1,0.078,0.582,0.0,0.158,0.375,110.012,spotify:track:0Z7nGFVCLfixWctgePsRk9
What You Won't Do For Love,Bobby Caldwell,2024-03-23,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,spotify:track:6Dk5fHTvH897XrVzCO64Mx
Austin,Dasha,2024-03-23,0.764,0.678,0,-6.161,1,0.058,0.494,1.91e-06,0.107,0.712,114.939,spotify:track:69wVo2cAAD7O9XSpSpTBAu
"Money! (Money Money, Green Green)",Kaytoven,2024-03-23,0.546,0.876,1,-5.724,1,0.0408,0.435,0.802,0.172,0.226,149.195,spotify:track:40MPZ79Nb7wBZqA9PzLVy0
Lovin On Me,Jack Harlow,2024-03-23,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,spotify:track:4xhsWYTOGcal8zt0J161CU
Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",2024-03-23,0.708,0.657,0,-8.074,0,0.098,0.114,0.0,0.296,0.803,139.851,spotify:track:3hFnQwSt5zAWaYpLuMSWB7
Dance You Outta My Head,Cat Janice,2024-03-23,0.751,0.712,2,-7.181,0,0.0548,0.0608,0.0,0.1,0.598,115.966,spotify:track:6NMqeF0Ssmi7d3dSUqnOFf
She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,2024-03-23,0.541,0.408,1,-9.87,1,0.0489,0.152,0.00734,0.104,0.0346,101.989,spotify:track:17j94KZ4XMNM599wComGDG
Scared To Start,Michael Marcagi,2024-03-23,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn
Like What (Freestyle),Cardi B,2024-03-23,0.948,0.689,11,-6.662,0,0.167,0.0696,0.0,0.434,0.708,114.959,spotify:track:3ytbtkmMnkfwMrBi32a7FD
Bandit,Don Toliver,2024-03-23,0.686,0.733,2,-5.268,1,0.0576,0.00567,0.0,0.246,0.141,130.095,spotify:track:7sTyAjxDXq9afwfSQy6D0s
Tumblr Girls,G-Eazy Featuring Christoph Andersson,2024-03-23,0.49,0.373,8,-9.762,1,0.26,0.101,0.000105,0.128,0.346,121.889,spotify:track:4Fv6wNYUixnYkj3Dgfrls8
Baddie Friend (Two Bad Bitches),Kevo Jefe Featuring House Of Evo,2024-03-23,0.93,0.686,1,-4.053,1,0.101,0.0239,0.0,0.315,0.359,101.024,spotify:track:0wPLQRnTaArzCgmxFyEcRf
Whatever She Wants,Bryson Tiller,2024-03-23,0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02,spotify:track:57wp7VFnV8X0pSVnYArGeJ
Make You Mine,Madison Beer,2024-03-23,0.533,0.642,6,-6.315,0,0.0403,0.221,0.00697,0.238,0.488,123.128,spotify:track:48vIfHaK7by6x0T6ucpODL
Someday I'll Get It,Alek Olsen,2024-03-23,0.438,0.051,8,-22.44,1,0.0373,0.93,0.916,0.113,0.102,102.711,spotify:track:1lb0KfG9EyfSBsEifTUtXY
Get In With Me,BossMan DLow,2024-03-23,0.612,0.649,1,-5.553,0,0.384,0.133,0.0,0.11,0.219,158.9,spotify:track:4iEoDBAgMJIzest7VsDgmT
Never Lose Me,Flo Milli,2024-03-23,0.781,0.569,1,-7.858,1,0.0978,0.0534,0.0,0.098,0.0739,121.971,spotify:track:2x2olWuWXpqjoeE4bO1NFS
Praise Jah In The Moonlight,YG Marley,2024-03-23,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,spotify:track:3h5TiWTqGxjSjFrbruPFH9
My Love Mine All Mine,Mitski,2024-03-23,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,spotify:track:3vkCueOmm7xQDoJ17W1Pm3
No Fear,DeJ Loaf,2024-03-23,0.614,0.682,11,-4.117,0,0.102,0.387,0.0,0.134,0.566,100.202,spotify:track:2H881m3JRA8lpuuwaQL6zy
Sad Hamster Violin Meme,Silly Puszek,2024-03-23,0.743,0.803,10,-5.946,0,0.0442,7.59e-05,0.00514,0.2,0.659,100.991,spotify:track:4IvRi7lzV8UdkI6VVAxkRc
Can I Come With You,AP$ENT,2024-03-23,0.0846,0.101,4,-27.758,0,0.0295,0.892,0.712,0.189,0.0386,84.151,spotify:track:3aD54SqCgTXcO03MXvOccj
Bad Bitty,Jody P,2024-03-23,0.768,0.783,2,-6.681,1,0.0514,0.135,0.0,0.316,0.76,103.988,spotify:track:3hDGP1FyivTChULeeVWkH6
Irish Jig,Irish Pub Society,2024-03-23,0.492,0.799,2,-6.66,1,0.0614,0.357,0.186,0.321,0.66,148.115,spotify:track:0Ra87UMpF7dHzhqaaq0Ulq
Redrum,21 Savage,2024-03-23,0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,spotify:track:52eIcoLUM25zbQupAZYoFh
Back On 74,Jungle,2024-03-23,0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,spotify:track:19kHhX6f6EfLU7rcO3RqjO
Seppuku,Rob Apollo Featuring Baldie Balboa,2024-03-23,0.579,0.556,9,-8.451,1,0.296,0.156,0.0,0.131,0.567,99.888,spotify:track:6Q22qc1tLKgjlK39Ra13l9
Oi (Beat Da Koto Nai),Certified Trapper,2024-03-23,0.475,0.336,7,-12.35,1,0.436,0.844,1.43e-05,0.128,0.459,31.074,spotify:track:2sptW9npRR78LLHNC6m1XF
Show Me How,Men I Trust,2024-03-23,0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,spotify:track:75IQVo8hqI1iwVZyvkN2VT
Little Life,Cordelia,2024-03-23,0.507,0.0606,11,-15.605,1,0.0342,0.92,2.62e-06,0.111,0.173,130.629,spotify:track:51WRxaNJVQuXOBYUAmSzbf
Act II: Date @ 8,4Batz Featuring Drake,2024-03-23,0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS
I Wouldn't Mind,He Is We,2024-03-23,0.557,0.295,0,-7.583,1,0.0277,0.798,0.0,0.0951,0.411,108.055,spotify:track:1XcFa5d1qoWdCIICnXlggj
Yasashi,CXSPER,2024-03-23,0.51,0.305,9,-12.942,1,0.0567,0.677,0.983,0.368,0.139,109.247,spotify:track:4484d0k9BgXv7VmGRT8uc8
Soaked,Shy Smith,2024-03-23,0.9,0.67,1,-7.49,1,0.079,0.0533,0.0,0.0629,0.84,109.001,spotify:track:65zIby9Z03d1bhGvLNJNrA
Move Yo Body (Sped Up),Bryansanon,2024-03-23,0.688,0.7,1,-8.287,1,0.0535,0.000114,1.08e-05,0.194,0.38,144.989,spotify:track:062UdtCYGxKMR2ihegtZUU
Cleared - Remix,Lilithzplug,2024-03-23,0.631,0.593,11,-9.014,0,0.0796,0.685,0.0462,0.0799,0.457,129.868,spotify:track:54L7uacUGRkvoLokUlNWfH
Jealous,Eyedress,2024-03-23,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,spotify:track:1aXV8GrmQLvgoFtBPERP7E
Rose's Turn,Glee Cast,2024-03-23,0.545,0.399,10,-6.908,0,0.0529,0.717,0.0,0.117,0.501,103.266,spotify:track:5IEjk9xrbtTlnoRznXTIMz
Gata Only,FloyyMenor X Cris Mj,2024-03-23,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,spotify:track:6XjDF6nds4DE2BBbagZol6
Get It Sexyy,Sexyy Red,2024-03-23,0.814,0.632,5,-5.721,0,0.286,0.0931,1.68e-06,0.082,0.505,145.018,spotify:track:0mIdZEa3kU6btHfzbEibz4
Enough (Miami),Cardi B,2024-03-23,0.926,0.791,5,-4.553,1,0.273,0.00255,0.0,0.0772,0.473,139.166,spotify:track:7pDfRnoEDRkcz7bQsOjnPc
One Call,Rich Amiri,2024-03-23,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,spotify:track:69phA1R4gmQsBFRQ3INW8C
I Wanna Be Yours,Arctic Monkeys,2024-03-23,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,spotify:track:5XeFesFbtLpXzIVDNQP22n
EDGE,REZZ,2024-03-23,0.541,0.747,2,-11.296,1,0.037,0.000549,0.00189,0.082,0.0885,155.076,spotify:track:4sG2mY9YIrqC6zJByChKSN
Mr. Weatherall,Young Hub City Featuring Big Zoe,2024-03-23,0.753,0.728,0,-5.439,1,0.228,0.00773,0.0,0.0653,0.752,170.022,spotify:track:5EoobjvWYSRwoPnhRojf5c
Another Love,Tom Odell,2024-03-23,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,spotify:track:3JvKfv6T31zO0ini8iNItO
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2024-03-16,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,spotify:track:5rb9QrpfcKFHM1EUbSIurX
What You Won't Do For Love,Bobby Caldwell,2024-03-16,0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,spotify:track:6Dk5fHTvH897XrVzCO64Mx
End Of Beginning,Djo,2024-03-16,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,spotify:track:3qhlB30KknSejmIvZZLjOD
Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",2024-03-16,0.708,0.657,0,-8.074,0,0.098,0.114,0.0,0.296,0.803,139.851,spotify:track:3hFnQwSt5zAWaYpLuMSWB7
Dance You Outta My Head,Cat Janice,2024-03-16,0.751,0.712,2,-7.181,0,0.0548,0.0608,0.0,0.1,0.598,115.966,spotify:track:6NMqeF0Ssmi7d3dSUqnOFf
"Money! (Money Money, Green Green)",Kaytoven,2024-03-16,0.546,0.876,1,-5.724,1,0.0408,0.435,0.802,0.172,0.226,149.195,spotify:track:40MPZ79Nb7wBZqA9PzLVy0
Can I Come With You,AP$ENT,2024-03-16,0.0846,0.101,4,-27.758,0,0.0295,0.892,0.712,0.189,0.0386,84.151,spotify:track:3aD54SqCgTXcO03MXvOccj
Whatever She Wants,Bryson Tiller,2024-03-16,0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02,spotify:track:57wp7VFnV8X0pSVnYArGeJ
No Fear,DeJ Loaf,2024-03-16,0.614,0.682,11,-4.117,0,0.102,0.387,0.0,0.134,0.566,100.202,spotify:track:2H881m3JRA8lpuuwaQL6zy
Like What (Freestyle),Cardi B,2024-03-16,0.948,0.689,11,-6.662,0,0.167,0.0696,0.0,0.434,0.708,114.959,spotify:track:3ytbtkmMnkfwMrBi32a7FD
Beautiful Things,Benson Boone,2024-03-16,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,spotify:track:6tNQ70jh4OwmPGpYy6R2o9
She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,2024-03-16,0.541,0.408,1,-9.87,1,0.0489,0.152,0.00734,0.104,0.0346,101.989,spotify:track:17j94KZ4XMNM599wComGDG
Praise Jah In The Moonlight,YG Marley,2024-03-16,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,spotify:track:3h5TiWTqGxjSjFrbruPFH9
Tumblr Girls,G-Eazy Featuring Christoph Andersson,2024-03-16,0.49,0.373,8,-9.762,1,0.26,0.101,0.000105,0.128,0.346,121.889,spotify:track:4Fv6wNYUixnYkj3Dgfrls8
Austin,Dasha,2024-03-16,0.764,0.678,0,-6.161,1,0.058,0.494,1.91e-06,0.107,0.712,114.939,spotify:track:69wVo2cAAD7O9XSpSpTBAu
Rose's Turn,Glee Cast,2024-03-16,0.545,0.399,10,-6.908,0,0.0529,0.717,0.0,0.117,0.501,103.266,spotify:track:5IEjk9xrbtTlnoRznXTIMz
Never Lose Me,Flo Milli,2024-03-16,0.781,0.569,1,-7.858,1,0.0978,0.0534,0.0,0.098,0.0739,121.971,spotify:track:2x2olWuWXpqjoeE4bO1NFS
Get In With Me,BossMan DLow,2024-03-16,0.612,0.649,1,-5.553,0,0.384,0.133,0.0,0.11,0.219,158.9,spotify:track:4iEoDBAgMJIzest7VsDgmT
Redrum,21 Savage,2024-03-16,0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,spotify:track:52eIcoLUM25zbQupAZYoFh
My Love Mine All Mine,Mitski,2024-03-16,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,spotify:track:3vkCueOmm7xQDoJ17W1Pm3
Oi (Beat Da Koto Nai),Certified Trapper,2024-03-16,0.475,0.336,7,-12.35,1,0.436,0.844,1.43e-05,0.128,0.459,31.074,spotify:track:2sptW9npRR78LLHNC6m1XF
Merry Go Round of Life (Old Piano),Xakei,2024-03-16,0.333,0.341,8,-15.113,0,0.0317,0.974,0.844,0.118,0.504,168.325,spotify:track:45x0ittsJkYChoLk4zQkCH
I Wouldn't Mind,He Is We,2024-03-16,0.557,0.295,0,-7.583,1,0.0277,0.798,0.0,0.0951,0.411,108.055,spotify:track:1XcFa5d1qoWdCIICnXlggj
Little Life,Cordelia,2024-03-16,0.507,0.0606,11,-15.605,1,0.0342,0.92,2.62e-06,0.111,0.173,130.629,spotify:track:51WRxaNJVQuXOBYUAmSzbf
Soaked,Shy Smith,2024-03-16,0.9,0.67,1,-7.49,1,0.079,0.0533,0.0,0.0629,0.84,109.001,spotify:track:65zIby9Z03d1bhGvLNJNrA
Cleared - Remix,Lilithzplug,2024-03-16,0.631,0.593,11,-9.014,0,0.0796,0.685,0.0462,0.0799,0.457,129.868,spotify:track:54L7uacUGRkvoLokUlNWfH
Seppuku,Rob Apollo Featuring Baldie Balboa,2024-03-16,0.579,0.556,9,-8.451,1,0.296,0.156,0.0,0.131,0.567,99.888,spotify:track:6Q22qc1tLKgjlK39Ra13l9
One Call,Rich Amiri,2024-03-16,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,spotify:track:69phA1R4gmQsBFRQ3INW8C
Act II: Date @ 8,4Batz Featuring Drake,2024-03-16,0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS
Yeah!,Usher Featuring Lil Jon & Ludacris,2024-03-16,0.916,0.455,2,-12.273,1,0.0672,0.0222,0.00286,0.107,0.0746,104.999,spotify:track:3ZXb7BJtQpt5oHscNU2MG1
Bad Bitty,Jody P,2024-03-16,0.768,0.783,2,-6.681,1,0.0514,0.135,0.0,0.316,0.76,103.988,spotify:track:3hDGP1FyivTChULeeVWkH6
Evergreen,Richy Mitch And The Coal Miners,2024-03-16,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,spotify:track:6me7F0aaZjwDo6RJ5MrfBD
Yasashi,CXSPER,2024-03-16,0.51,0.305,9,-12.942,1,0.0567,0.677,0.983,0.368,0.139,109.247,spotify:track:4484d0k9BgXv7VmGRT8uc8
Move Yo Body (Sped Up),Bryansanon,2024-03-16,0.688,0.7,1,-8.287,1,0.0535,0.000114,1.08e-05,0.194,0.38,144.989,spotify:track:062UdtCYGxKMR2ihegtZUU
Lovin On Me,Jack Harlow,2024-03-16,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,spotify:track:4xhsWYTOGcal8zt0J161CU
Intergalactic Janet,Ley Soul,2024-03-16,0.766,0.475,10,-10.639,0,0.0342,0.48,0.00159,0.113,0.853,139.97,spotify:track:7zgEoBci3rKmEkLdsZ8ZKJ
Come Check This (Quickie Edit),FETISH,2024-03-16,0.734,0.834,11,-7.045,1,0.0825,0.182,0.802,0.219,0.394,124.99,spotify:track:3HH6ACm3OG9DtmfUGq3jOg
L'amore Dice Ciao (Slow Take) (Remastered),Armando Trovajoli,2024-03-16,0.421,0.282,5,-16.523,1,0.0294,0.93,0.357,0.106,0.255,62.419,spotify:track:4dPnyaHuSuazWDvIXRBRZo
Texas Hold 'Em,Beyonce,2024-03-16,0.727,0.711,2,-6.549,1,0.078,0.582,0.0,0.158,0.375,110.012,spotify:track:0Z7nGFVCLfixWctgePsRk9
Scared To Start,Michael Marcagi,2024-03-16,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn
Piss Me Off,BossMan DLow,2024-03-16,0.515,0.522,1,-8.021,1,0.279,0.128,0.0,0.11,0.185,76.239,spotify:track:0djb4bjU9O0Try7yMUlVBW
Show Me How,Men I Trust,2024-03-16,0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,spotify:track:75IQVo8hqI1iwVZyvkN2VT
Gata Only,FloyyMenor X Cris Mj,2024-03-16,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,spotify:track:6XjDF6nds4DE2BBbagZol6
Relaxed,MC Mablo Dos Paredoes,2024-03-16,0.533,0.395,3,-11.66,0,0.0288,0.876,0.928,0.122,0.616,99.676,spotify:track:67q9y56ZUtZ6TG4JfZG2k7
Glimpse of Your Reflection,Nadya,2024-03-16,0.581,0.157,1,-19.062,1,0.0319,0.985,0.936,0.111,0.269,144.051,spotify:track:4LkTkQK2xkU5S4uWN5LWI4
Where The Wild Things Are,Luke Combs,2024-03-16,0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,spotify:track:0eBFgRxyVSeuT4iyrbukdn
